Name	Kind	Address	Gas	Transactions	kgCO2
Async	1	0x6c424c25e9f1fff9642cb5b7750b0db7312c29ad	595381881	7403	126499
Async	2	0xb6dae651468e9593e4581705a09c10a76ac1e0c8	818559920	7001	224364
Foundation	1	0xcda72070e455bb31c7690a170224ce43623d0b6f	1801563783	14692	873981
Foundation	2	0x3b3ee1931dc30c1957379fac9aba94d1c48a5405	1436438214	5547	696468
Known Origin		0xfbeef911dc5821886e1dda71586d90ed28174b7d	4430905450	18110	1341819
Makersplace		0x2a46f2ffd99e19a89476e2f62270e0a35bbf0756	20085695013	64142	5403452
OpenSea		0x7be8076f4ea4a4ad08075c2508e481d6c946d12b	117950955208	575065	36667409
OpenSea	ENS Resolver	0x9c4e9cce4780062942a7fe34fa2fa7316c872956	94540156	2155	25910
OpenSea	Registry	0xa5409ec958c83c3f309868babaca7c86dcb077c1	25183985607	68107	8692014
OpenSea	Wallet	0x5b3256965e7c3cf26e11fcaf296dfc8807c01073	67046129	785	23823
OpenSea	Shared Storefront	0x495f947276749ce646f68ac8c248420045cb7b5e	293951173	4511	127746
OpenSea	OPT	0x1129eb10812935593bf44fe0a9b62a59a9202f6d	4978851	47	1832
Rarible	1	0x60f80121c31a0d46b5279700f9df786054aa5ee5	18463831918	110046	6016074
Rarible	2	0xfca59cd816ab1ead66534d82bc21e7515ce441cf	2018139034	52515	577719
SuperRare	Bids	0x2947f98c42597966a0ec25e92843c09ac17fbaa7	5945113248	89609	1558206
SuperRare	ERC-20	0x41a322b28d0ff354040e2cbc676f0320d8c8850d	2629324536	31832	1006646
SuperRare	ERC-721	0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0	4902633379	25958	1312598
Zora	market	0xe5bfab544eca83849c53464f85b7164375bdaac1	1922788	2	567
Zora	media	0xabefbc9fd2f806065b4f3c237d4b59d9a97bcac7	1313376947	4857	582437
